music,speech
15.70833333,53.33333333
18.08333333,46.54166667
15.45833333,50.58333333
17.20833333,49.91666667
13.16666667,51.125
14.95833333,50.08333333
14.08333333,53.41666667
12.95833333,49.79166667
16.08333333,53.5
14.20833333,52.70833333
14.20833333,52.66666667
15.66666667,51.79166667
14.54166667,51.875
16.58333333,53.75
17.375,53.125
16,51.95833333
13.83333333,50.54166667
16.58333333,51.75
18.79166667,51.45833333
19.41666667,47.29166667
14.75,51.41666667
16.95833333,46.20833333
18.29166667,49.5
17.58333333,53.04166667
13.83333333,54.29166667
16.33333333,56.95833333
16.45833333,52.75
14.625,57.54166667
15.16666667,45.125
16.375,50.95833333
12.54166667,50.08333333
16.54166667,53.125
14.66666667,54.79166667
15.125,51.08333333
16.91666667,52.125
15.33333333,60.29166667
13.75,54.54166667
14.25,54.5
17.625,53.41666667
16.5,53.04166667
16,52.875
15.25,59.5
17.79166667,55.41666667
10.79166667,51.79166667
15.66666667,50.08333333
12.54166667,52
14.08333333,55.625
14.08333333,51.54166667
14.58333333,51.41666667
15.20833333,55.91666667
15.41666667,54.66666667
15.83333333,51.33333333
14.58333333,50.08333333
18.29166667,52.125
16.125,50.79166667
14.54166667,51.95833333
15.16666667,55.08333333
14.54166667,59.16666667
15.45833333,52.33333333
16.75,49.58333333
13.83333333,53
14.20833333,53.83333333
15.54166667,58.20833333
13.70833333,55.33333333
13.70833333,53.41666667
14.16666667,49
19.83333333,51.29166667
14.66666667,52
14.875,55.25
16.83333333,51.95833333
15.875,55.04166667
14.20833333,50.875
13.875,47.375
16.04166667,53.66666667
17.16666667,48.54166667
16.20833333,58.125
15.95833333,52.70833333
14.33333333,49.25
21.20833333,53.04166667
18.66666667,51.125
15.375,50.16666667
15.625,48.125
13.29166667,52.75
13.08333333,53.25
18.66666667,56.29166667
17.04166667,52.54166667
17.54166667,53.16666667
13.20833333,56.58333333
16.66666667,52.75
19.54166667,52.45833333
14.375,52.375
17.29166667,51.29166667
14.70833333,52.41666667
16.375,49.875
17.91666667,53.95833333
18.875,52.45833333
11.125,51.125
15.54166667,53.04166667
14.33333333,57.70833333
16.875,53.58333333
14.04166667,52.83333333
14.16666667,58.58333333
18.875,53.54166667
15.08333333,49.5
16.5,50.66666667
14.83333333,54.95833333
13.625,48.16666667
13.45833333,53.41666667
11.91666667,50.54166667
16.79166667,54.83333333
16.95833333,51.29166667
12.54166667,55.33333333
17.16666667,57.20833333
17.95833333,58.45833333
17.41666667,51.58333333
17.33333333,54.41666667
14.45833333,50.20833333
16.625,55.33333333
15.29166667,57
21.66666667,48.58333333
19.58333333,50.375
14.125,50.70833333
12.875,50.08333333
15.875,53.75
19.41666667,47.79166667
16.20833333,53.20833333
16.41666667,50.625
13.125,51
20.16666667,50.16666667
12.41666667,55.75
11.70833333,54.5
13.66666667,56.375
14.91666667,49.875
15.91666667,49.625
16.04166667,53.08333333
12.125,53.45833333
14.75,50.75
16.08333333,53.54166667
20.33333333,47.16666667
17.54166667,52.79166667
10.66666667,51.41666667
19,51.25
20.95833333,51.66666667
17.5,59.29166667
14,50.79166667
